ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
10061,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",1 handle,227,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10063,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",1 handle,126,Paint,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,,,,,,,
10064,,,Mon Jan 27 00:00:00 CET 2020,"JB, RK","1 rim, 1 body sherd",184,,1 base,6,Groove,1 body sherd,3,Grooves,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
10065,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",,,,1 handle,48,,,,,,,,,,,,,,,,,,,1,,,,,,Groove
10066,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",1 rim,96,,"1 base, 1 handle",68,,"2 bases, 4 body sherds",27,1 base applied red; 1 base BG; 1 combed body sherd; 1 body sherd blue glaze medieval; 2 body sherds BG,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,,,,,,,
10067,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB","1 base, 1 handle",244,,"2 rims, 4 body sherds",66,1 body sherd cookware,"1 handle, 2 body sherd",15,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,6 modern body sherds
10068,10068_1 Amphora toe,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 base,179,,1 other,89,Amphora toe *,1 body sherd,1,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10069,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",1 base,61,,1 base,9,Grooves,1 base,14,Groove and red paint,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10070,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB, NS, SR",2 handles,124,,,,,1 base,4,Red paint,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,4,,,,,,Roman
10071,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",1 handle,66,BG,"1 handle, 1 rim",119,,2 rims,6,1 with BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,5,,,,,,
10073,,,Mon Jan 27 00:00:00 CET 2020,SR,2 handles,186,1 cookware,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,1,,,,,,Painted
